date,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,return_t+1
2025-03-17,0.041842,-0.032510,0.011433,-0.036755,0.000000,-0.009048
2025-03-18,0.005111,0.133989,0.002064,-0.052533,0.000000,-0.012609
2025-03-19,-0.041148,0.505527,-0.009574,-0.080865,0.000000,-0.003963
2025-03-20,-0.054776,0.252036,-0.012229,-0.102633,0.000000,0.000000
2025-03-21,-0.054776,0.128288,-0.011077,-0.113168,0.000000,0.000000
2025-03-24,-0.054776,0.086313,-0.010033,-0.115852,0.000000,0.002210
2025-03-25,-0.043574,-0.102907,-0.007103,-0.110019,0.000000,0.012792
2025-03-26,0.017303,-0.723180,0.005063,0.391802,0.000000,-0.001742
2025-03-27,0.008839,-0.116138,0.002995,0.375640,0.000000,-0.013089
2025-03-28,-0.050563,0.142669,-0.009177,-0.072605,0.000000,-0.014589
2025-03-31,-0.105165,0.397532,-0.021429,-0.094677,0.000000,0.009421
2025-04-01,-0.058652,0.080708,-0.011060,-0.090921,0.000000,0.009333
2025-04-02,-0.015946,-0.077450,-0.001656,0.216142,0.000000,-0.070013
2025-04-03,-0.201812,1.362155,-0.068862,-0.156617,0.000000,-0.029356
2025-04-04,-0.243217,0.907487,-0.084550,-0.241706,0.000000,-0.069268
2025-04-08,-0.308725,0.440122,-0.135783,-0.372488,0.000000,-0.069706
2025-04-09,-0.347872,0.814922,-0.180730,-0.347444,0.000000,0.068169
2025-04-10,-0.206255,0.009973,-0.114347,-0.503021,0.000000,0.068038
2025-04-11,-0.092612,-0.497821,-0.049192,-0.068337,0.000000,0.042963
2025-04-14,-0.030602,-0.488403,-0.007553,-0.224435,0.000000,0.019886
2025-04-15,-0.003226,-0.365059,0.011010,-0.082693,0.000000,-0.013463
2025-04-16,-0.021580,-0.106486,-0.002355,-0.002777,0.000000,0.000000
2025-04-17,-0.021580,-0.059170,-0.005115,0.052712,0.000000,-0.001882
2025-04-18,-0.024391,0.059772,-0.067922,0.087308,0.000000,-0.019802
2025-04-21,-0.054022,0.191778,-0.150480,0.082547,0.000000,0.003848
2025-04-22,-0.047031,0.293004,-0.015783,0.085086,0.000000,0.020125
2025-04-23,-0.010604,-0.134530,0.003640,0.113574,0.000000,0.001879
2025-04-24,-0.007140,-0.112603,0.004997,0.572445,0.000000,0.004219
2025-04-25,0.001061,-0.167110,0.008350,0.579521,0.000000,-0.002334
2025-04-28,-0.003740,-0.035207,0.005422,0.148757,0.000000,-0.005615
2025-04-29,-0.015734,0.126971,-0.000202,0.137801,0.000000,0.008000
2025-05-05,0.002606,-0.077943,0.007048,0.137563,0.000000,-0.009804
2025-05-06,-0.020097,0.187625,-0.002556,0.119491,0.000000,-0.001886
2025-05-07,-0.024503,0.096676,-0.004017,0.101765,0.000000,0.011809
2025-05-08,0.006022,-0.181517,0.007002,0.578093,0.000000,-0.002334
2025-05-09,-0.000243,-0.042939,0.004207,0.097860,0.000000,-0.009359
2025-05-12,-0.025544,0.490626,-0.004699,0.078182,0.000000,0.015588
2025-05-13,0.017832,-0.209464,0.009775,0.084360,0.000000,0.013488
2025-05-14,0.052766,-0.492563,0.021120,0.103673,0.000000,0.000000
2025-05-15,0.052766,-0.226474,0.019071,0.111464,0.000000,-0.013309
2025-05-16,0.008383,0.035632,-0.014683,0.091977,-0.000024,-0.006047
2025-05-19,0.139828,0.193734,0.325851,0.061135,0.002314,0.000000
2025-05-20,-0.008474,0.180199,-0.036058,0.050444,-0.001180,0.004212
2025-05-21,0.005838,0.050305,0.002994,0.042487,0.000000,-0.004194
2025-05-22,-0.009044,0.193590,-0.001097,0.029815,0.000000,-0.001872
2025-05-23,-0.015861,0.140804,-0.002685,0.017976,0.000000,-0.001875
2025-05-26,-0.022994,0.386514,-0.004123,0.007237,0.000000,0.000000
2025-05-27,-0.022994,0.258426,-0.003732,0.000288,0.000000,0.001879
2025-05-28,-0.014208,-0.044775,-0.001683,-0.001370,0.000000,-0.001875
2025-05-29,-0.022841,0.141751,-0.003218,-0.004726,0.000000,0.007985
2025-05-30,0.016487,-1.191767,0.004288,0.004441,0.000000,-0.007922
2025-06-02,-0.022216,0.129465,-0.003320,-0.000731,0.000000,0.017849
2025-06-03,0.057589,-0.508013,0.013074,0.020482,0.000000,-0.002307
2025-06-04,0.045770,-0.218455,0.009704,0.029632,0.000000,-0.007401
2025-06-05,0.008619,0.049317,0.002019,0.023655,0.000000,0.011650
2025-06-06,0.059119,-0.361946,0.012372,0.034620,0.000000,0.009673
2025-06-09,0.096621,-0.368309,0.020011,0.052999,0.000000,-0.004106
2025-06-10,0.074083,-0.197000,0.014295,0.248972,0.000000,-0.003665
2025-06-11,0.054048,-0.015636,0.009560,0.049187,0.000000,0.026667
2025-06-12,0.149542,-0.851428,0.032893,0.079040,0.000000,-0.014778
2025-06-13,0.074202,-0.054350,0.015923,0.071926,0.000000,0.013182
2025-06-16,0.116319,-0.254389,0.026449,0.081419,0.000000,0.003589
2025-06-17,0.127272,-0.196720,0.027185,0.087235,0.000000,0.011176
2025-06-18,0.159941,-0.367652,0.034854,0.101092,0.000000,-0.008842
2025-06-19,0.113606,-0.072121,0.023199,0.086837,0.000000,0.003568
2025-06-20,0.124949,-0.094663,0.024231,0.537646,0.000000,-0.005778
2025-06-23,0.094411,0.154661,0.016541,0.062909,0.000000,0.005811
2025-06-24,0.114688,-0.045275,0.020267,0.496977,0.000000,0.007556
2025-06-25,0.140031,-0.497960,0.025244,0.054063,0.000000,0.005734
2025-06-26,0.158527,-0.422456,0.028076,0.305380,0.000000,0.002193
2025-06-27,0.165643,-0.149276,0.027363,0.483633,0.000000,-0.006565
2025-06-30,0.722569,0.005091,1.344229,0.010560,0.006596,-0.002203
2025-07-01,0.109845,0.168982,0.014792,0.025129,-0.007933,0.011038
2025-07-02,0.915221,-0.195463,1.551236,0.025879,0.011674,0.008734
2025-07-03,0.180711,-0.531746,0.029222,0.484937,-0.021493,0.006494
2025-07-04,0.201012,-0.222676,0.032375,0.046602,0.000000,0.015054
2025-07-07,0.242199,-0.438743,0.043156,0.070468,0.000000,0.046610
2025-07-08,0.324177,-1.043530,0.082317,0.148924,0.000000,0.002024
2025-07-09,0.326872,-0.368576,0.075849,0.190136,0.000000,0.016162
2025-07-10,0.387971,-0.659015,0.681625,0.401321,0.001057,0.033797
2025-07-11,0.379290,-0.617983,0.107555,0.558547,-0.001888,-0.009615
2025-07-14,0.706453,-0.278811,0.897733,0.478279,0.013358,-0.009709
2025-07-15,0.272250,-0.044226,0.068555,0.256545,-0.007494,0.023529
2025-07-16,0.304195,-0.312876,0.084024,0.253053,0.000000,-0.003831
2025-07-17,0.284446,-0.188845,0.071719,0.224432,0.000000,-0.003846
2025-07-18,0.264235,-0.053546,0.060768,0.181049,0.000000,0.011583
2025-07-21,0.282352,-0.317847,0.061848,0.647538,0.000000,0.009542
2025-07-22,0.296393,-0.281815,0.068097,0.139701,0.000000,-0.001890
2025-07-23,0.285479,-0.220583,0.055442,0.110711,0.000000,-0.015152
2025-07-24,0.202530,0.236486,0.039069,0.052575,0.000000,0.001923
2025-07-25,0.206700,0.238865,0.037011,0.007816,0.000000,0.011516
2025-07-28,0.231057,-0.242914,0.044086,0.251950,0.000000,-0.037951
2025-07-29,0.063168,0.642396,0.004035,0.292277,0.000000,0.001972
2025-07-30,0.068504,0.230000,0.005440,-0.146996,0.000000,-0.017717
2025-07-31,0.008323,0.451038,-0.011208,-0.208609,0.000000,0.008016
2025-08-01,0.032034,0.119013,-0.002970,-0.231669,0.000000,0.005964
2025-08-04,0.049578,-0.061889,0.002692,-0.231605,0.000000,0.043478
2025-08-05,0.152471,-1.430515,0.041695,0.108716,0.000000,0.026515
2025-08-06,0.199513,-0.510387,0.060558,-0.061914,0.000000,0.051661
2025-08-07,0.267343,-0.725936,0.104852,0.083408,0.000000,-0.017544
2025-08-08,0.206044,-0.307998,0.076704,0.539171,0.000000,0.005357
2025-08-11,0.213440,-0.138461,0.074036,0.517679,0.000000,0.012433
2025-08-12,0.230479,-0.219034,0.078415,0.181738,0.000000,-0.014035
2025-08-13,0.180665,0.165701,0.056909,0.153621,0.000000,0.003559
2025-08-14,0.186422,-0.012943,0.054577,0.127125,0.000000,-0.007092
2025-08-15,0.160764,0.334575,0.042422,0.082775,0.000000,0.014286
2025-08-18,0.186041,-0.162445,0.050899,0.358883,0.000000,-0.008803
2025-08-19,0.153278,0.025423,0.038133,0.030630,0.000000,-0.026643
2025-08-20,1.049844,0.484058,1.983720,-0.053928,0.043090,0.000000
2025-08-21,0.065955,0.208141,0.008558,-0.107381,-0.017954,-0.051095
2025-08-22,-0.061063,0.568760,-0.039041,-0.234763,0.000000,-0.001923
2025-08-25,-0.375789,0.202387,0.280337,-0.547941,-0.010785,0.048170
2025-08-26,0.040951,-0.080579,0.006329,-0.272880,0.012576,-0.016544
2025-08-27,0.975487,-0.032122,1.956542,-0.273800,0.018152,0.013084
2025-08-28,-0.959784,-0.149144,0.010044,-0.394594,-0.047056,0.014760
2025-08-29,0.059985,-0.227630,0.017841,-0.180997,0.028821,0.023636
2025-09-03,0.103019,-0.484464,0.037758,-0.101030,0.000000,0.060391
2025-09-04,0.188754,-0.629522,0.090003,0.058404,0.000000,-0.035176
2025-09-05,0.102240,-0.124992,0.046512,0.083657,0.000000,0.003472
2025-09-08,0.107300,-0.115058,0.043507,0.096684,0.000000,-0.001730
2025-09-09,0.103169,0.020565,0.039057,0.091572,0.000000,0.000000
2025-09-10,0.103169,0.066497,0.028287,0.078341,0.000000,0.010399
2025-09-11,0.121103,-0.355577,0.041411,0.079681,0.000000,0.029160
2025-09-12,0.167021,-0.511197,0.060157,0.125002,0.000000,0.011667
2025-09-15,0.184003,-0.327217,0.069089,0.583217,0.000000,-0.013180
2025-09-16,0.143605,-0.088176,0.049501,0.147004,0.000000,-0.025042
2025-09-17,0.075028,0.346092,0.020962,0.074630,0.000000,-0.001712
2025-09-18,0.070663,0.228776,0.017352,0.015414,0.000000,0.003431
2025-09-19,0.296033,0.078349,0.739135,-0.093759,0.004481,-0.029060
2025-09-22,0.003430,0.271370,-0.009769,-0.106709,-0.007308,0.008803
2025-09-23,0.022831,0.055562,-0.000952,0.268365,0.000000,0.013962
2025-09-24,0.052928,-0.039818,0.011744,-0.152896,0.000000,-0.008606
2025-09-25,0.030410,0.009772,0.002747,-0.152988,0.000000,-0.008681
2025-09-26,0.008125,0.069726,-0.005393,-0.174097,0.000000,0.001751
2025-09-29,0.012536,0.082473,-0.003305,-0.180104,0.000000,-0.015734
2025-09-30,-0.028452,0.260429,-0.017210,-0.207829,0.000000,0.005329
2025-10-01,-0.013705,0.074897,-0.010845,-0.208949,0.000000,-0.007067
2025-10-02,-0.032441,0.123592,-0.016164,-0.216239,0.000000,-0.016014
2025-10-03,-0.072363,0.343257,-0.028968,-0.239790,0.000000,0.056058
2025-10-06,0.065313,-0.488711,0.022985,-0.146415,0.000000,-0.006849
2025-10-07,0.047028,-0.154484,0.014435,-0.100143,0.000000,0.006897
2025-10-08,0.062275,-0.207778,0.019350,-0.047712,0.000000,-0.008562
2025-10-09,0.037903,-0.043424,0.009601,-0.033349,0.000000,0.022453
2025-10-10,0.087917,-0.463425,0.029107,0.016922,0.000000,-0.020270
2025-10-13,0.030806,0.207887,0.007455,0.007254,0.000000,-0.022414
2025-10-14,-0.023228,0.569909,-0.013705,-0.045898,0.000000,-0.003527
2025-10-15,-0.031135,0.182589,-0.015573,-0.080047,0.000000,1002.539823
