date,alpha_1_Momentum_Sentiment_Confirmation,alpha_2_Mean_Reversion_Amplified,alpha_3_Trend_vs_Market_Fear_Divergence,alpha_4_MACD_Crossover_Economic_Confirmation,alpha_5_Volatility_Sentiment_Spike,return_t_plus_1
2025-04-02,,,,,,-0.070013
2025-04-03,,,,,,-0.029356
2025-04-04,,,,,,-0.069268
2025-04-08,,,,,,-0.069706
2025-04-09,,,,,,0.068169
2025-04-10,,,,,,0.068038
2025-04-11,,,,,,0.042963
2025-04-14,,,,,,0.019886
2025-04-15,,,,,,-0.013463
2025-04-16,,,,,,0.000000
2025-04-17,,,,,,-0.001882
2025-04-18,,,,,,-0.019802
2025-04-21,,,,,,0.003848
2025-04-22,,,,,,0.020125
2025-04-23,,,,,,0.001879
2025-04-24,,,,,,0.004219
2025-04-25,,,,,,-0.002334
2025-04-28,,,,,,-0.005615
2025-04-29,,,,,,0.008000
2025-05-05,,,,,,-0.009804
2025-05-06,,,,,,-0.001886
2025-05-07,,,,,,0.011809
2025-05-08,,,,,,-0.002334
2025-05-09,,,,,,-0.009359
2025-05-12,,,,,,0.015588
2025-05-13,,,,,,0.013488
2025-05-14,,,,,,0.000000
2025-05-15,,,,,,-0.013309
2025-05-16,,,,,,-0.006047
2025-05-19,,,,,,0.000000
2025-05-20,,,,,,0.004212
2025-05-21,,,,,,-0.004194
2025-05-22,,,,,,-0.001872
2025-05-23,,,,,,-0.001875
2025-05-26,,,,,,0.000000
2025-05-27,,,,,,0.001879
2025-05-28,,,,,,-0.001875
2025-05-29,,,,,,0.007985
2025-05-30,,,,,,-0.007922
2025-06-02,,,,,,0.017849
2025-06-03,,,,,,-0.002307
2025-06-04,,,,,,-0.007401
2025-06-05,,,,,,0.011650
2025-06-06,,,,,,0.009673
2025-06-09,,,,,,-0.004106
2025-06-10,,,,,,-0.003665
2025-06-11,,,,,,0.026667
2025-06-12,,,,,,-0.014778
2025-06-13,,,,,,0.013182
2025-06-16,,,,,,0.003589
2025-06-17,,,,,,0.011176
2025-06-18,,,,,,-0.008842
2025-06-19,,,,,,0.003568
2025-06-20,,,,,,-0.005778
2025-06-23,,,,,,0.005811
2025-06-24,,,,,,0.007556
2025-06-25,,,,,,0.005734
2025-06-26,,,,,,0.002193
2025-06-27,,,,,,-0.006565
2025-06-30,,,,,,-0.002203
2025-07-01,,,,,,0.011038
2025-07-02,,,,,,0.008734
2025-07-03,,,,,,0.006494
2025-07-04,,,,,,0.015054
2025-07-07,,,,,,0.046610
2025-07-08,,,,,,0.002024
2025-07-09,,,,,,0.016162
2025-07-10,,,,,,0.033797
2025-07-11,,,,,,-0.009615
2025-07-14,,,,,,-0.009709
2025-07-15,,,,,,0.023529
2025-07-16,,,,,,-0.003831
2025-07-17,,,,,,-0.003846
2025-07-18,,,,,,0.011583
2025-07-21,,,,,,0.009542
2025-07-22,,,,,,-0.001890
2025-07-23,,,,,,-0.015152
2025-07-24,,,,,,0.001923
2025-07-25,,,,,,0.011516
2025-07-28,,,,,,-0.037951
2025-07-29,,,,,,0.001972
2025-07-30,,,,,,-0.017717
2025-07-31,,,,,,0.008016
2025-08-01,,,,,,0.005964
2025-08-04,,,,,,0.043478
2025-08-05,,,,,,0.026515
2025-08-06,,,,,,0.051661
2025-08-07,,,,,,-0.017544
2025-08-08,,,,,,0.005357
2025-08-11,,,,,,0.012433
2025-08-12,,,,,,-0.014035
2025-08-13,,,,,,0.003559
2025-08-14,,,,,,-0.007092
2025-08-15,,,,,,0.014286
2025-08-18,,,,,,-0.008803
2025-08-19,,,,,,-0.026643
2025-08-20,,,,,,0.000000
2025-08-21,,,,,,-0.051095
2025-08-22,,,,,,-0.001923
2025-08-25,,,,,,0.048170
2025-08-26,,,,,,-0.016544
2025-08-27,,,,,,0.013084
2025-08-28,,,,,,0.014760
2025-08-29,,,,,,0.023636
2025-09-03,,,,,,0.060391
2025-09-04,,,,,,-0.035176
2025-09-05,,,,,,0.003472
2025-09-08,,,,,,-0.001730
2025-09-09,,,,,,0.000000
2025-09-10,,,,,,0.010399
2025-09-11,,,,,,0.029160
2025-09-12,,,,,,0.011667
2025-09-15,,,,,,-0.013180
2025-09-16,,,,,,-0.025042
2025-09-17,,,,,,-0.001712
2025-09-18,,,,,,0.003431
2025-09-19,,,,,,-0.029060
2025-09-22,,,,,,0.008803
2025-09-23,,,,,,0.013962
2025-09-24,,,,,,-0.008606
2025-09-25,,,,,,-0.008681
2025-09-26,,,,,,0.001751
2025-09-29,,,,,,-0.015734
2025-09-30,,,,,,0.005329
2025-10-01,,,,,,-0.007067
2025-10-02,,,,,,-0.016014
2025-10-03,,,,,,0.056058
2025-10-06,,,,,,-0.006849
2025-10-07,,,,,,0.006897
2025-10-08,,,,,,-0.008562
2025-10-09,,,,,,0.022453
2025-10-10,,,,,,-0.020270
2025-10-13,,,,,,-0.022414
2025-10-14,,,,,,-0.003527
2025-10-15,,,,,,1002.539823
2025-10-16,,,,,,
